idExperiment;op1;op2;repetitions;randomRange;floatingNumbers;randomStrategy;result
0;(x + y) + z;x + (y + z);1;1;0;0;1.0
1;(x + y) + z;x + (y + z);1;1;0;1;1.0
2;(x + y) + z;x + (y + z);1;1;0;2;1.0
3;(x + y) + z;x + (y + z);1;1;1;0;1.0
4;(x + y) + z;x + (y + z);1;1;1;1;1.0
5;(x + y) + z;x + (y + z);1;1;1;2;1.0
6;(x + y) + z;x + (y + z);1;1;2;0;1.0
7;(x + y) + z;x + (y + z);1;1;2;1;1.0
8;(x + y) + z;x + (y + z);1;1;2;2;0.0
9;(x + y) + z;x + (y + z);1;1;5;0;1.0
10;(x + y) + z;x + (y + z);1;1;5;1;1.0
11;(x + y) + z;x + (y + z);1;1;5;2;0.0
12;(x + y) + z;x + (y + z);1;1;50;0;1.0
13;(x + y) + z;x + (y + z);1;1;50;1;1.0
14;(x + y) + z;x + (y + z);1;1;50;2;1.0
15;(x + y) + z;x + (y + z);1;3;0;0;1.0
16;(x + y) + z;x + (y + z);1;3;0;1;0.0
17;(x + y) + z;x + (y + z);1;3;0;2;1.0
18;(x + y) + z;x + (y + z);1;3;1;0;1.0
19;(x + y) + z;x + (y + z);1;3;1;1;1.0
20;(x + y) + z;x + (y + z);1;3;1;2;1.0
21;(x + y) + z;x + (y + z);1;3;2;0;1.0
22;(x + y) + z;x + (y + z);1;3;2;1;1.0
23;(x + y) + z;x + (y + z);1;3;2;2;0.0
24;(x + y) + z;x + (y + z);1;3;5;0;1.0
25;(x + y) + z;x + (y + z);1;3;5;1;1.0
26;(x + y) + z;x + (y + z);1;3;5;2;1.0
27;(x + y) + z;x + (y + z);1;3;50;0;1.0
28;(x + y) + z;x + (y + z);1;3;50;1;0.0
29;(x + y) + z;x + (y + z);1;3;50;2;0.0
30;(x + y) + z;x + (y + z);1;5;0;0;1.0
31;(x + y) + z;x + (y + z);1;5;0;1;1.0
32;(x + y) + z;x + (y + z);1;5;0;2;0.0
33;(x + y) + z;x + (y + z);1;5;1;0;1.0
34;(x + y) + z;x + (y + z);1;5;1;1;1.0
35;(x + y) + z;x + (y + z);1;5;1;2;0.0
36;(x + y) + z;x + (y + z);1;5;2;0;1.0
37;(x + y) + z;x + (y + z);1;5;2;1;0.0
38;(x + y) + z;x + (y + z);1;5;2;2;1.0
39;(x + y) + z;x + (y + z);1;5;5;0;0.0
40;(x + y) + z;x + (y + z);1;5;5;1;1.0
41;(x + y) + z;x + (y + z);1;5;5;2;1.0
42;(x + y) + z;x + (y + z);1;5;50;0;1.0
43;(x + y) + z;x + (y + z);1;5;50;1;1.0
44;(x + y) + z;x + (y + z);1;5;50;2;1.0
45;(x + y) + z;x + (y + z);1;10;0;0;1.0
